Player;PTS;FGA;AST;DRB;ORB;STL;BLK;TOV
Seth Curry;9.2;7.4;1.6;1.4;0.2;0.6;0.1;0.8
Stephen Curry;29.4;20.2;6.3;5.4;0.7;0.9;0.4;3.2
Dyson Daniels;3.8;3.5;2.3;2.6;0.6;0.7;0.2;1.0
Anthony Davis;25.9;17.2;2.6;9.1;3.5;1.1;2.0;2.2
Johnny Davis;5.8;6.1;1.0;2.0;0.4;0.4;0.3;0.6
Terence Davis;6.7;5.7;1.0;1.9;0.3;0.7;0.2;0.8
JD Davison;1.6;1.6;0.9;0.6;0.2;0.2;0.2;0.3
Darius Days;3.8;3.0;0.3;1.3;0.3;0.0;0.3;0.0
Dewayne Dedmon;5.2;4.0;0.7;2.6;0.9;0.2;0.5;0.7
Dewayne Dedmon;5.7;4.3;0.5;2.7;0.9;0.2;0.5;0.6
Dewayne Dedmon;3.5;2.8;1.3;2.4;0.8;0.3;0.6;0.8
Matthew Dellavedova;1.5;1.6;1.3;0.4;0.0;0.2;0.0;0.3
DeMar DeRozan;24.5;17.6;5.1;4.2;0.5;1.1;0.5;2.1
Moussa DiabatÃ©;2.7;2.1;0.2;0.9;1.4;0.3;0.4;0.4
Mamadi Diakite;2.6;2.3;0.4;1.0;0.4;0.2;0.4;0.5
Hamidou Diallo;9.3;6.7;1.0;2.4;1.0;0.9;0.3;1.3
Gorgui Dieng;3.9;3.8;1.7;2.6;0.9;0.1;0.5;1.0
Ousmane Dieng;4.9;4.6;1.2;2.2;0.5;0.4;0.2;0.7
Spencer Dinwiddie;17.3;13.3;6.5;3.1;0.4;0.8;0.3;1.8
Spencer Dinwiddie;17.7;13.1;5.3;2.7;0.4;0.7;0.3;1.7
Spencer Dinwiddie;16.5;13.7;9.1;3.8;0.3;1.1;0.3;2.1
Donte DiVincenzo;9.4;7.5;3.5;3.4;1.1;1.3;0.1;1.6
Luka DonÄçiÄá;32.4;22.0;8.0;7.8;0.8;1.4;0.5;3.6
